X,Y,NAME
239308.942,884212.699900001,Toni & Guy Hairdressing Academy
224577.545,884401.435899999,Universal Technical Institute of Massachusetts Inc
238575.274700001,886440.424899999,University of Phoenix-Boston
231797.909199998,887890.932100002,Curry College
241002.941600002,888387.375100002,Mansfield Beauty Schools
241131.8561,888644.859299999,Massachusetts School of Barbering
229491.564199999,897896.5909,Newbury College
231305.202299997,898145.178800002,Boston Career Institute
227298.584399998,898333.067400001,Boston College
232721.399400003,898388.439100001,Harvard University
232625.444200002,898417.510899998,Harvard University
235234.0361,898512.845699999,Boston University School of Medicine
232871.654200003,898542.2709,Massachusetts College of Pharmacy and Health Science
233065.724200003,898554.920899998,Massachusetts College of Art and Design
233355.394199997,898564.711,Wentworth Institute of Technology
233243.468,898754.395500001,School of the Museum of Fine Arts
230235.261100002,898807.500100002,Boston Graduate School of Psychoanalysis Inc
215576.025600001,898808.188499998,Blessed John Xxiii National Seminary
232974.444200002,898837.640900001,Simmons College
233917.157499999,898844.2566,Northeastern University Professional Advancement Network
233889.404200003,898910.310899999,Northeastern University
234082.444200002,899023.070900001,New England Conservatory of Music
232762.044200003,899036.210900001,Emmanuel College
241061.202699997,888797.4023,Ali May Academy
240971.756200001,889230.843199998,Quincy College
232176.5242,889334.6609,Boston Baptist College
225130.724200003,889674.2009,Northeastern University
236444.529700004,890136.110399999,Laboure College
240339.412699997,891306.8365,Eastern Nazarene College
216014.994199999,893687.350900002,Wellesley College
219465.9692,893690.018399999,Franklin W. Olin College of Engineering
224467.710199997,893883.586199999,William James College
219279.526100002,894189.506,Babson College
236561.239200003,895186.4318,Jupiter Beauty Academy
219485.394199997,895750.100900002,Massachusetts Bay Community College
237942.845,896082.866,University of Massachusetts Boston
230562.754199997,896349.320900001,Hellenic College/Holy Cross
228310.619800001,896760.104899999,Pine Manor College
225678.254199997,897165.560899999,Andover Newton Theological School
225616.590800002,897289.7326,Hebrew College
234391.798100002,897545.977600001,Gordon-Conwell Theological Seminary
233336.217699997,897718.092099998,Roxbury Community College
231869.672499999,881082.7566,Bay State School of Technology
225466.580499999,881218.7766,Fine Mortuary College
225357.005599998,881237.5669,Martin Electrical School
232702.464199997,881375.030900002,Blue Hills Regional Technical School Practical Nursing Program
232988.300499998,881543.101,Massasoit Community College
228549.448299997,883168.099399999,Peterson School
235292.075300001,903899.377300002,Springfield College School of Professional and Continuing Studies
223041.977200001,904292.363699999,Bentley University
234384.394199997,904589.810899999,Lincoln Technical Institute
231416.401900001,906514.072700001,Tufts University
236668.854800001,906346.1219,Flavia Leal Beauty Creator's Academy
230768.878300004,907208.771600001,Elizabeth Grady School of Esthetics and Massage Therapy
248777.8345,907714.489799999,Northeastern University
232004.0634,908484.315699998,Lawrence Memorial Hospital/Regis College School of Nursing
235600.227700002,908569.308200002,Boston Career Institute
234840.514200002,908633.8609,Empire Beauty School
235091.033299997,908673.761,Salter School
235516.804799996,908806.203499999,New England Hair Academy
217273.604199998,912350.570900001,National Aviation Academy New England Campus
245720.953,912392.030200001,North Shore Community College
225433.969499998,914295.8871,Northeastern University
228725.356200002,914341.336199999,Peterson School
231712.348399997,914572.9419,Gould Construction Institute
232492.842500001,899048.8651,Simmons College
225219.1998,899080.524,Boston College
232484.564199999,899142.5009,Wheelock College
221288.904200003,899204.0209,Lasell College
227802.351099998,899328.6413,Boston College
227795.5942,899370.2766,St. John's Seminary College
235420.3442,899588.320900001,Benjamin Franklin Institute of Technology
233782.3992,899603.183800001,The Boston Conservatory at Berklee
233833.895,899644.665100001,Berklee College of Music
234129.401699997,899858.975900002,Boston Architectural College
221705.4309,902360.432100002,New England School of Photography
232983.739100002,899977.282299999,Boston University
236057.1316,900054.524799999,Tufts University
215608.725599997,900100.778200001,Regis College
234914.030900002,900104.100900002,American Academy of Personal Training
235724.59,900127.8926,New England Law Boston
234853.124200001,900230.260899998,Bay State College
234042.970899999,900232.6666,New England College of Optometry
235816.684199996,900253.310899999,Emerson College
235905.784199998,900358.230900001,Urban College of Boston
236528.445900001,900452.921599999,New England College of Business
236026.055200003,900548.025899999,Empire Beauty School
235097.334200002,900619.4109,Fisher College
236814.339199997,900861.205899999,Northeastern University
236091.015,901028.7509,Suffolk University
233614.186099999,901103.524300002,Massachusetts Institute of Technology
235483.504199997,901424.350900002,Massachusetts General Hospital Dietetic Internship
236694.2764,901466.738,North Bennet Street School
219763.943300001,901723.6873,Brandeis University
231072.254799999,901833.8924,Harvard University
222158.072800003,901877.662599999,NV My Hair Academy
232043.874200001,902111.600900002,Cambridge College
235237.332199998,902170.251600001,Cambridge College School of Management and Education
235359.968400002,902255.557599999,Hult International Business School
231132.1017,902344.898200002,Harvard University
236739.374200001,902811.9109,MGH Institute of Health Professions
231210.581699997,902878.373399999,Harvard College
231794.304200001,902886.790899999,Harvard University
235401.554200001,902916.080899999,Bunker Hill Community College
231013.570500001,903182.1448,Longy School of Music of Bard College
231390.415200002,903243.5984,Harvard University
231516.828699999,903379.1296,Lesley University
239081.250799999,903416.787599999,East Boston Beauty Academy
230634.224200003,903514.900899999,Harvard-Smithsonian
228315.144500002,914684.2152,Blessing Channels Nail Academy
230826.562799998,914876.647399999,Woburn Electrical School
