X,Y,NAME
237120.668899998,892643.407699998,Gallivan Blvd @ opp Marsh St
227915.1954,892644.017499998,Lagrange St @ Virgil Rd
234385.660899997,892644.9441,Norfolk St @ Nelson St
227912.601199999,892650.156300001,Lagrange St opp Virgil St
236644.812399998,892651.99,Adams St @ Minot St
236649.767300002,892672.199099999,Adams St @ Minot St
228299.467,892674.320700001,Centre St opp Bellevue st
237367.877499998,892703.008200001,Gallivan Blvd @ Hallet St
239559.153800003,873000.062899999,Montello Commuter Rail Station
239940.220200002,874490.510699999,Howard St @ Lisa Dr
239973.446900003,874602.1369,S Franklin St @ Howard Ave
239986.68,874615.543099999,S Franklin St @ Howard Ave
240172.602600001,874769.8814,S Franklin St opp Hamilton Way
240193.198299997,874783.327599999,S Franklin St @ Hamilton Way
240326.402800001,874915.154800002,S Franklin St @ Woodlawn Ave
240331.236500002,874929.1644,1002 S Franklin St
240379.591700003,875132.458500002,S Franklin St @ Upland St
240381.292499997,875137.6996,S Franklin St @ Emery St
240677.750699997,875177.749699999,Holbrook Ct @ Linwood Housing
240806.888899997,875201.8211,Holbrook Ct @ Linwood St
240446.919399999,875253.174699999,S Franklin St @ Francis St
240541.309799999,875328.491500001,S Franklin St @ Linwood St
240554.6395,875341.346,S Franklin St @ South St
240598.765900001,875485.590500001,S Franklin St @ Diman Ave
240608.969099998,875597.004799999,778 S Franklin St
238022.3895,875785.502500001,E Main St @ W Main St
240659.522,875869.108,716 S Franklin St
240668.759800002,875900.012400001,Opp 716 S Franklin St
238038.455600001,875921.906599998,E Main St @ E High St
240713.715099998,876049.629,S Franklin St opp Laurel Pk
240719.317699999,876068.398800001,S Franklin St @ Laurel Pk
238054.812399998,876083.8519,Main St @ Demarco Park
238046.153399996,876158.322299998,40 N Main St
238043.575800002,876176.731899999,47 N Main St
240779.9454,876242.052299999,S Franklin St @ Quincy St
240786.523400001,876265.059500001,S Franklin St opp Quincy St
238021.664700001,876415.398,N Main St @ Langley Rd
238021.064099997,876463.0145,S Main St @ Acorn Dr
240809.429,876493.327100001,549 S Franklin St
240809.429,876493.327100001,Opp 549 S Franklin St
238019.395,876545.857500002,702 S Main St
240525.663099997,889611.627599999,Adams St opp Alleyne St
233094.181,889617.294500001,Blue Hill Ave - Valentine Rd to Tucker St (FLAG)
237453.799900003,889620.997099999,Edgehill Rd @ Huntington Rd
230863.5198,889622.5185,11 Summer St
240679.759300001,889624.903900001,Hancock St @ Merrymount Rd
247154.062399998,889630.436299998,River St opp Cliff St
247173.299900003,889636.820300002,River St @ Cliff St
253479.7874,889637.961,Rockland St from Kilby St to Nantasket Ave (FLAG)
237467.821500003,889638.209,Edgehill Rd @ Reservation Rd
238494.746799998,889640.068799999,Adams St @ Beale St
240670.006800003,889641.878400002,Hancock St opp Merrymount Rd
238476.446599998,889648.296100002,Adams St @ Stedman St
233106.352200001,889648.7205,Blue Hill Ave - Tucker St to Valentine Rd (FLAG)
231032.8191,889650.315499999,Hyde Park Ave @ Grant Place
253494.291500002,889651.27,Rockland St from Nantasket Ave to Kilby St (FLAG)
241580.747500002,889653.498100001,55 Sea St
241572.506800003,889656.172899999,Sea St @ Cemetery
243766.406900004,889672.738,Palmer St @ Roach St
243753.494599998,889686.609499998,Palmer St opp Roach St
227893.497299999,889697.0781,Washington St @ Oak St
238346.431400001,889702.003800001,Adams St @ Washington St
229168.733900003,889702.5627,Opp 67 Crown Point Dr
230794.368,889711.739799999,Austin St @ Gordon Ave
238314.270300001,889714.423799999,Adams St @ Pilgrim Rd
229180.202699997,889718.4377,Margaretta Dr @ Crown Point Dr
237657.541500002,889726.0755,Edgehill Rd @ Hollis St
229291.986699998,889727.362500001,Georgetowne Dr @ Margaretta Dr
231370.796800002,889728.125300001,River St @ Webster St
229273.073899999,889739.089200001,Margaretta Dr @ Georgetowne Dr
249563.8169,889739.5691,Downer Ave @ Otis St
249580.046700001,889743.190200001,Otis St @ Downer Ave
231394.202799998,889745.812800001,River St @ Walter St
237719.668200001,889747.032499999,Edgehill Rd @ Grafton Ave
240330.656,889757.006200001,Newport Ave @ Furnace Brook Pkwy
237736.650399998,889757.79,Edgehill Rd opp Grafton Ave
247455.404299997,889761.119600002,River St @ Weymouth Port
227391.071599998,889764.660599999,Dedham Mall @ Stop & Shop
240595.6633,889766.073100001,Hancock St @ Butler Rd
238171.178499997,889770.543,Adams St @ Granite Pl
243674.829599999,889771.920499999,Palmer St @ Brockton Ave
240317.337300003,889772.042300001,Newport Ave @ Furnace Brook Pwky
227953.039099999,889779.423900001,Washington St @ Tobin Rd
238142.231299996,889782.571400002,Adams St @ Foster Ln
240585.480599999,889783.999600001,Hancock St opp Butler Rd
243661.178199999,889786.135899998,Palmer St opp Brockton Ave
231058.1822,889791.980099998,Hyde Park Ave @ Clay Street
237809.870099999,889793.055399999,Boulevard St @ Bryant Ave
234569.240800001,889810.766199999,Reedsdale Rd @ Central Ave
228005.856,889818.150800001,Washington St @ Meshaka St
238014.478,889819.584399998,Adams St @ Church St
234572.894,889823.523400001,Reedsdale Rd @ Brook Rd
237982.144900002,889827.827599999,Adams St @ Mechanic St
229694.1734,889829.279300001,Turtle Pond Pkwy @ Dedham Pkwy
229682.469599999,889838.019499999,Dedham Pkwy @ Turtle Pond Pkwy
237030.847800002,889840.272799999,Brook Rd @ Pleasant St
234612.797799997,889840.833900001,Brook Rd @ Reedsdale Rd
