X,Y,STATION,LINE,TERMINUS,ROUTE
232377.163900003,900023.9168,Boston University Central,GREEN,N,B - Boston College
231744.6413,900123.8235,Amory Street,GREEN,N,B - Boston College
231314.861500002,900191.528200001,Babcock Street,GREEN,N,B - Boston College
230877.631700002,900211.005,Packards Corner,GREEN,N,B - Boston College
230401.963,900056.306200001,Harvard Avenue,GREEN,N,B - Boston College
230126.103600003,899878.253699999,Griggs Street,GREEN,N,B - Boston College
229856.6131,899850.065400001,Allston Street,GREEN,N,B - Boston College
229642.071099997,899854.4395,Warren Street,GREEN,N,B - Boston College
229453.9639,899353.760299999,Washington Street,GREEN,N,B - Boston College
229143.587099999,899067.909499999,Sutherland Road,GREEN,N,B - Boston College
228763.198299997,898961.5506,Chiswick Road,GREEN,N,B - Boston College
228623.706100002,898734.3488,Chestnut Hill Avenue,GREEN,N,B - Boston College
228243.72,898830.145300001,South Street,GREEN,N,B - Boston College
227438.864100002,898904.866700001,Boston College,GREEN,Y,B - Boston College
228902.421800002,898464.344,Cleveland Circle,GREEN,Y,C - Cleveland Circle
229214.218599997,898559.836300001,Englewood Avenue,GREEN,N,C - Cleveland Circle
229505.857,898642.0887,Dean Road,GREEN,N,C - Cleveland Circle
229795.055799998,898732.668499999,Tappan Street,GREEN,N,C - Cleveland Circle
230048.015600003,898823.562,Washington Square,GREEN,N,C - Cleveland Circle
230383.260200001,898859.752599999,Fairbanks Street,GREEN,N,C - Cleveland Circle
230600.5964,898906.612799998,Brandon Hall,GREEN,N,C - Cleveland Circle
230836.5678,899015.9142,Summit Ave/Winchester St,GREEN,N,C - Cleveland Circle
231206.206500001,899142.132300001,Coolidge Corner,GREEN,N,C - Cleveland Circle
231544.0493,899261.431299999,Saint Paul Street,GREEN,N,C - Cleveland Circle
231782.427900001,899351.333500002,Kent Street,GREEN,N,C - Cleveland Circle
232038.794500001,899446.8906,Hawes Street,GREEN,N,C - Cleveland Circle
232362.475,899573.608600002,Saint Marys Street,GREEN,N,C - Cleveland Circle
232580.028800003,899482.559900001,Fenway,GREEN,N,D - Riverside
232142.608400002,899092.938499998,Longwood,GREEN,N,D - Riverside
231579.105400003,898082.418200001,Brookline Village,GREEN,N,D - Riverside
230763.8785,897934.394699998,Brookline Hills,GREEN,N,D - Riverside
229646.573700003,898418.066,Beaconsfield,GREEN,N,D - Riverside
228977.674500003,898353.931499999,Reservoir,GREEN,N,D - Riverside
227643.8314,897415.721299998,Chestnut Hill,GREEN,N,D - Riverside
225354.629900001,897704.079100002,Newton Centre,GREEN,N,D - Riverside
224275.009499997,896915.9111,Newton Highlands,GREEN,N,D - Riverside
223362.442100003,896537.835099999,Eliot,GREEN,N,D - Riverside
221158.522200003,898069.783599999,Woodland,GREEN,N,D - Riverside
220391.713,898574.647100002,Riverside,GREEN,Y,D - Riverside
