X,Y,OBJECTID,SCHID,NAME,ADDRESS,TOWN_MAIL,TOWN,ZIPCODE,PHONE,GRADES,TYPE,TYPE_DESC,TYPE_DESC2,DIST_NAME,DIST_CODE,MA_ADDR_ID
322513.19,855628.064599998,1,03180005,Wellfleet Elementary School,100 Lawrence Road,Wellfleet,WELLFLEET,02667,508-349-3101,"K,01,02,03,04,05",ELE,Public Elementary,,Wellfleet,03180000,1845317
116579.268399999,904583.98,2,00080050,Wildwood Elementary School,71 Strong Street,Amherst,AMHERST,01002,413-362-1400,"K,01,02,03,04,05,06",ELE,Public Elementary,,Amherst,00080000,765438
258239.801399998,931492.262600001,3,06980020,Essex Elementary School,12 Story Street,Essex,ESSEX,01929,978-768-7324,"K,01,02,03,04,05",ELE,Public Elementary,,Manchester Essex,06980000,1208023
116677.285800003,869646.058600001,4,00870305,Birchland Park School,50 Hanward Hill,East Longmeadow,EAST LONGMEADOW,01028,413-525-5480,"06,07,08",MID,Public Middle,,East Longmeadow,00870000,164880
56842.0314000025,896618.325399999,5,01500025,Lee Elementary School,310 Greylock Street,Lee,LEE,01238,413-243-0336,"PK,K,01,02,03,04,05,06",ELE,Public Elementary,,Lee,01500000,644715
106777.584600002,882319.601,6,04530005,Holyoke Community Charter School,2200 Northampton Street,Holyoke,HOLYOKE,01040,413-533-0111,"K,01,02,03,04,05,06,07,08",CHA,Charter,,Holyoke Community Charter,04530000,228236
109397.095200002,902736.133400001,7,01270005,Hatfield Elementary School,33 Main Street,Hatfield,HATFIELD,01038,413-247-5010,"PK,K,01,02,03,04,05,06",ELE,Public Elementary,,Hatfield,01270000,253421
231189.707800001,936282.130600002,8,02110010,Franklin School,2 Cypress Terrace,North Andover,NORTH ANDOVER,01845,978-794-1990,"01,02,03,04,05",ELE,Public Elementary,,North Andover,02110000,2817215
54115.4644,913664.507399999,9,02360510,Taconic High School,96 Valentine Road,Pittsfield,PITTSFIELD,01201,413-448-9600,"09,10,11,12",SEC,Public Secondary,,Pittsfield,02360000,189825
54547.9077999964,913189.259399999,10,02360105,Silvio O Conte Community School,200 West Union Street,Pittsfield,PITTSFIELD,01201,413-448-9660,"PK,K,01,02,03,04,05",ELE,Public Elementary,,Pittsfield,02360000,190217
120814.959600002,876325.466400001,11,06800310,Wilbraham Middle School,466 Stony Hill Road,Wilbraham,WILBRAHAM,01095,413-596-9061,"06,07,08",MID,Public Middle,,Hampden-Wilbraham,06800000,963039
107879.454400003,869495.181,12,00050020,Benjamin J Phelps School,689 Main Street,Agawam,AGAWAM,01001,413-821-0587,"K,01,02,03,04",ELE,Public Elementary,,Agawam,00050000,2261670
